--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
014.666  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.672  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.677  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.681  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.684  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.688  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.691  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.697  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.004  000.101  000.101: require('lualine.utils.mode')
015.246  000.004  000.004: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.267  000.003  000.003: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.275  000.006  000.006: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.281  000.003  000.003: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.284  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.548  000.071  000.071: require('bufferline.lazy')
015.756  000.202  000.202: require('bufferline.commands')
016.115  000.346  000.346: require('bufferline.config')
016.117  000.829  000.210: require('bufferline')
016.908  000.277  000.277: require('bufferline.utils')
016.910  000.749  000.472: require('bufferline.groups')
017.002  000.073  000.073: require('bufferline.constants')
017.105  000.101  000.101: require('bufferline.colors')
017.310  000.137  000.137: require('bufferline.highlights')
017.362  000.003  000.003: require('vim.F')
017.903  000.269  000.269: require('vim.version')
018.602  001.057  000.788: require('bufferline.hover')
018.973  000.348  000.348: require('bufferline.ui')
020.052  001.076  001.076: require('vim.diagnostic')
020.239  000.163  000.163: require('gitsigns')
020.770  000.261  000.261: require('gitsigns.util')
020.776  000.508  000.247: require('gitsigns.config')
021.329  000.179  000.179: require('gitsigns.debug.log')
021.552  000.729  000.550: require('gitsigns.highlight')
021.665  000.102  000.102: require('gitsigns.debounce')
021.671  015.520  004.350: require('plugins.ui')
022.662  000.078  000.078: require('nvim-autopairs._log')
022.828  000.165  000.165: require('nvim-autopairs.utils')
022.832  000.443  000.199: require('nvim-autopairs.conds')
022.835  000.594  000.151: require('nvim-autopairs.rule')
022.836  000.725  000.131: require('nvim-autopairs.rules.basic')
022.841  001.092  000.367: require('nvim-autopairs')
023.399  000.106  000.106: require('telescope._extensions')
023.401  000.250  000.144: require('telescope')
024.478  000.204  000.204: require('plenary.bit')
024.592  000.113  000.113: require('plenary.functional')
024.611  000.011  000.011: require('ffi')
024.635  000.794  000.466: require('plenary.path')
024.645  000.969  000.174: require('plenary.strings')
025.388  000.297  000.297: require('plenary.log')
025.416  000.406  000.109: require('telescope.log')
026.191  000.085  000.085: require('plenary.compat')
026.197  000.358  000.273: require('plenary.job')
026.290  000.092  000.092: require('telescope.state')
026.305  000.887  000.437: require('telescope.utils')
026.308  001.662  000.368: require('telescope.sorters')
027.037  003.635  001.004: require('telescope.config')
027.543  000.118  000.118: require('which-key')
027.731  000.187  000.187: require('which-key.config')
027.848  000.103  000.103: require('trouble')
028.023  000.174  000.174: require('trouble.config')
028.338  000.189  000.189: require('trouble.util')
028.340  000.311  000.121: require('trouble.config.highlights')
028.917  000.096  000.096: require('trouble.cache')
029.095  000.177  000.177: require('trouble.format')
029.199  000.103  000.103: require('trouble.view.indent')
029.358  000.158  000.158: require('trouble.view.text')
029.360  000.703  000.169: require('trouble.view.render')
029.361  000.836  000.133: require('trouble.view.preview')
029.362  000.945  000.109: require('trouble.view.main')
029.392  000.018  000.018: require('vim.fs')
029.434  007.762  000.930: require('plugins.editor')
030.077  000.075  000.075: require('cmp.utils.debug')
030.318  000.111  000.111: require('cmp.utils.char')
030.321  000.243  000.133: require('cmp.utils.str')
030.761  000.157  000.157: require('cmp.utils.misc')
030.842  000.081  000.081: require('cmp.utils.buffer')
030.956  000.113  000.113: require('cmp.utils.api')
030.959  000.530  000.179: require('cmp.utils.keymap')
030.960  000.637  000.108: require('cmp.utils.feedkeys')
031.580  000.097  000.097: require('cmp.types.cmp')
031.720  000.139  000.139: require('cmp.types.lsp')
031.792  000.072  000.072: require('cmp.types.vim')
031.793  000.384  000.076: require('cmp.types')
031.795  000.519  000.135: require('cmp.config.mapping')
031.881  000.085  000.085: require('cmp.utils.cache')
032.154  000.162  000.162: require('cmp.config.compare')
032.237  000.083  000.083: require('cmp.config.window')
032.238  000.355  000.111: require('cmp.config.default')
032.247  001.125  000.166: require('cmp.config')
032.253  001.293  000.167: require('cmp.utils.async')
032.438  000.080  000.080: require('cmp.utils.pattern')
032.439  000.185  000.106: require('cmp.context')
033.173  000.244  000.244: require('cmp.utils.snippet')
033.338  000.164  000.164: require('cmp.matcher')
033.594  000.953  000.545: require('cmp.entry')
033.598  001.158  000.205: require('cmp.source')
033.855  000.081  000.081: require('cmp.utils.event')
034.253  000.072  000.072: require('cmp.utils.options')
034.255  000.265  000.193: require('cmp.utils.window')
034.256  000.400  000.135: require('cmp.view.docs_view')
034.651  000.092  000.092: require('cmp.utils.autocmd')
034.656  000.399  000.307: require('cmp.view.custom_entries_view')
034.842  000.186  000.186: require('cmp.view.wildmenu_entries_view')
034.994  000.151  000.151: require('cmp.view.native_entries_view')
035.150  000.155  000.155: require('cmp.view.ghost_text_view')
035.155  001.557  000.185: require('cmp.view')
035.548  005.817  000.668: require('cmp.core')
035.711  000.083  000.083: require('cmp.config.sources')
035.753  006.233  000.334: require('cmp')
036.760  000.071  000.071: require('luasnip.util.types')
036.828  000.068  000.068: require('luasnip.util.lazy_table')
036.928  000.099  000.099: require('luasnip.extras.filetype_functions')
036.938  000.389  000.152: require('luasnip.default_config')
036.939  000.470  000.081: require('luasnip.session')
037.465  000.525  000.525: require('luasnip.util.vimversion')
037.469  001.240  000.244: require('luasnip.util.util')
037.948  000.142  000.142: require('luasnip.util.str')
038.019  000.070  000.070: require('luasnip.util.table')
038.120  000.100  000.100: require('luasnip.util.ext_opts')
038.183  000.063  000.063: require('luasnip.nodes.key_indexer')
038.338  000.154  000.154: require('luasnip.util.feedkeys')
038.647  000.309  000.309: require('luasnip.nodes.util.snippet_string')
038.654  001.184  000.346: require('luasnip.nodes.util')
038.937  000.074  000.074: require('luasnip.session.snippet_collection.source')
039.044  000.106  000.106: require('luasnip.util.auto_table')
039.055  000.400  000.220: require('luasnip.session.snippet_collection')
039.526  000.116  000.116: require('luasnip.util.select')
039.588  000.062  000.062: require('luasnip.util.time')
039.708  000.492  000.314: require('luasnip.util._builtin_vars')
039.754  000.698  000.206: require('luasnip.util.environ')
039.832  000.077  000.077: require('luasnip.util.extend_decorator')
040.068  000.133  000.133: require('luasnip.util.path')
040.353  000.146  000.146: require('luasnip.util.log')
040.355  000.287  000.141: require('luasnip.loaders.util')
040.420  000.064  000.064: require('luasnip.loaders.data')
040.637  000.216  000.216: require('luasnip.loaders.fs_watchers')
040.658  000.826  000.125: require('luasnip.loaders')
040.783  000.096  000.096: require('luasnip.config')
040.803  005.049  000.527: require('luasnip')
041.515  000.319  000.319: require('conform')
041.532  012.098  000.497: require('plugins.coding')
041.673  000.089  000.089: require('nvim-treesitter')
041.788  000.114  000.114: require('nvim-treesitter.config')
041.803  000.270  000.066: require('plugins.treesitter')
