--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
045.763  001.321  000.103: require('mason-core.installer.InstallLocation')
046.106  000.132  000.132: require('mason-core.log')
046.107  000.209  000.078: require('mason-core.EventEmitter')
046.238  000.130  000.130: require('mason-registry.sources')
046.249  000.485  000.146: require('mason-registry')
046.250  001.898  000.091: require('mason')
046.443  000.162  000.162: require('mason.api.command')
046.614  000.064  000.064: require('mason-lspconfig.settings')
046.615  000.171  000.107: require('mason-lspconfig')
046.764  000.128  000.128: require('mason-core.async')
046.951  000.066  000.066: require('mason-core.async.uv')
046.972  000.207  000.141: require('mason-core.fs')
047.240  000.112  000.112: require('mason-core.result')
047.584  000.156  000.156: require('mason-core.process')
047.701  000.116  000.116: require('mason-core.spawn')
047.702  000.351  000.079: require('mason-core.installer.managers.powershell')
047.765  000.062  000.062: require('mason.version')
047.766  000.525  000.112: require('mason-core.fetch')
047.850  000.084  000.084: require('mason-core.providers')
048.011  000.086  000.086: require('mason-core.optional')
048.389  000.145  000.145: require('mason-core.purl')
048.486  000.097  000.097: require('mason-core.async.control')
048.490  000.362  000.120: require('mason-core.package.AbstractPackage')
049.016  000.114  000.114: require('mason-core.installer.compiler.expr')
049.019  000.263  000.149: require('mason-core.installer.compiler.link')
049.547  000.073  000.073: require('mason-core.installer.context.InstallContextCwd')
049.637  000.089  000.089: require('mason-core.installer.context.InstallContextFs')
049.712  000.074  000.074: require('mason-core.installer.context.InstallContextSpawn')
049.814  000.101  000.101: require('mason-core.receipt')
049.822  000.507  000.169: require('mason-core.installer.context')
049.823  000.571  000.065: require('mason-core.installer')
049.828  000.713  000.142: require('mason-core.installer.managers.std')
049.829  000.809  000.096: require('mason-core.installer.compiler.schemas')
049.915  000.085  000.085: require('mason-core.installer.compiler.util')
049.918  001.294  000.137: require('mason-core.installer.compiler')
050.039  000.120  000.120: require('mason-core.installer.linker')
050.041  001.550  000.136: require('mason-core.installer.InstallRunner')
050.135  000.093  000.093: require('mason-core.installer.UninstallRunner')
050.138  002.127  000.122: require('mason-core.package')
050.140  002.289  000.075: require('mason-registry.sources.util')
050.143  003.135  000.125: require('mason-registry.sources.github')
050.316  000.099  000.099: require('mason-registry.sources.synthesized')
052.254  000.067  000.067: require('mason-lspconfig.mappings')
052.256  000.157  000.090: require('mason-lspconfig.features.automatic_enable')
056.835  000.775  000.775: require('vim.lsp.protocol')
056.849  000.970  000.195: require('vim.lsp.log')
057.576  000.004  000.004: require('vim._core.util')
057.582  000.731  000.727: require('vim.lsp.util')
057.919  000.157  000.157: require('vim.lsp.sync')
057.921  000.339  000.181: require('vim.lsp._changetracking')
058.276  000.120  000.120: require('vim.lsp._transport')
058.279  000.003  000.003: require('vim._core.stringbuffer')
058.294  000.372  000.250: require('vim.lsp.rpc')
058.320  003.148  000.736: require('vim.lsp')
061.283  000.057  000.057: require('mason-lspconfig.notify')
061.293  000.182  000.125: require('mason-lspconfig.api.command')
061.478  000.094  000.094: require('cmp_nvim_lsp.source')
061.479  000.184  000.089: require('cmp_nvim_lsp')
062.677  018.386  008.916: require('plugins.lsp')
062.678  056.090  000.217: sourcing /Users/rohan/.config/nvim/init.lua
062.683  001.061: sourcing vimrc file(s)
062.945  000.100  000.100: sourcing nvim_exec2() called at /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/filetype.lua:0
062.947  000.138  000.038: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/filetype.lua
063.134  000.045  000.045: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/syntax/synload.vim
063.180  000.180  000.135: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/syntax/syntax.vim
064.338  000.082  000.082: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/gzip.vim
064.728  000.075  000.075: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
064.750  000.389  000.313: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/matchit.vim
064.842  000.068  000.068: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/matchparen.vim
065.229  000.084  000.084: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/pack/dist/opt/netrw/plugin/netrwPlugin.vim
065.249  000.382  000.298: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/netrwPlugin.vim
065.349  000.073  000.073: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/rplugin.vim
065.410  000.035  000.035: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/tarPlugin.vim
065.446  000.008  000.008: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/tutor.vim
065.519  000.046  000.046: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/zipPlugin.vim
065.567  000.021  000.021: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/editorconfig.lua
065.625  000.031  000.031: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/man.lua
065.712  000.059  000.059: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/net.lua
065.782  000.044  000.044: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/osc52.lua
065.859  000.050  000.050: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/shada.lua
065.906  000.017  000.017: sourcing /opt/homebrew/Cellar/neovim/0.12.3/share/nvim/runtime/plugin/spellfile.lua
065.926  001.622: loading rtp plugins
066.328  000.014  000.014: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/conform.nvim/plugin/conform.lua
066.467  000.017  000.017: sourcing /Users/rohan/.local/share/nvim/site/pack/plugins/start/dress
