--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
033.603  001.371  000.160: require('cmp.view')
034.114  005.445  000.792: require('cmp.core')
034.245  000.074  000.074: require('cmp.config.sources')
034.263  005.809  000.291: require('cmp')
035.189  000.064  000.064: require('luasnip.util.types')
035.252  000.063  000.063: require('luasnip.util.lazy_table')
035.441  000.188  000.188: require('luasnip.extras.filetype_functions')
035.451  000.468  000.153: require('luasnip.default_config')
035.452  000.544  000.076: require('luasnip.session')
035.968  000.515  000.515: require('luasnip.util.vimversion')
035.972  001.289  000.230: require('luasnip.util.util')
036.458  000.139  000.139: require('luasnip.util.str')
036.526  000.067  000.067: require('luasnip.util.table')
036.624  000.098  000.098: require('luasnip.util.ext_opts')
036.685  000.060  000.060: require('luasnip.nodes.key_indexer')
036.802  000.117  000.117: require('luasnip.util.feedkeys')
037.030  000.227  000.227: require('luasnip.nodes.util.snippet_string')
037.034  001.061  000.354: require('luasnip.nodes.util')
037.264  000.069  000.069: require('luasnip.session.snippet_collection.source')
037.343  000.079  000.079: require('luasnip.util.auto_table')
037.346  000.312  000.164: require('luasnip.session.snippet_collection')
037.690  000.105  000.105: require('luasnip.util.select')
037.750  000.059  000.059: require('luasnip.util.time')
037.956  000.501  000.337: require('luasnip.util._builtin_vars')
038.011  000.663  000.163: require('luasnip.util.environ')
038.094  000.082  000.082: require('luasnip.util.extend_decorator')
038.356  000.147  000.147: require('luasnip.util.path')
038.688  000.171  000.171: require('luasnip.util.log')
038.692  000.335  000.165: require('luasnip.loaders.util')
038.756  000.063  000.063: require('luasnip.loaders.data')
039.094  000.337  000.337: require('luasnip.loaders.fs_watchers')
039.105  001.011  000.128: require('luasnip.loaders')
039.266  000.137  000.137: require('luasnip.config')
039.267  005.003  000.447: require('luasnip')
039.619  011.245  000.433: require('plugins.coding')
039.785  000.099  000.099: require('nvim-treesitter')
040.027  000.050  000.050: require('vim.fs')
040.058  000.273  000.223: require('nvim-treesitter.config')
040.070  000.450  000.079: require('plugins.treesitter')
040.402  000.076  000.076: require('mason-core.path')
040.709  000.066  000.066: require('mason-core.functional.data')
040.822  000.102  000.102: require('mason-core.functional.function')
040.994  000.140  000.140: require('mason-core.functional.list')
041.083  000.077  000.077: require('mason-core.functional.relation')
041.161  000.077  000.077: require('mason-core.functional.logic')
041.229  000.067  000.067: require('mason-core.functional.number')
041.324  000.092  000.092: require('mason-core.functional.string')
041.410  000.084  000.084: require('mason-core.functional.table')
041.475  000.064  000.064: require('mason-core.functional.type')
041.477  000.942  000.175: require('mason-core.functional')
041.491  001.089  000.147: require('mason-core.platform')
041.608  000.116  000.116: require('mason.settings')
041.610  001.389  000.107: require('mason-core.installer.InstallLocation')
041.979  000.151  000.151: require('mason-core.log')
041.980  000.233  000.082: require('mason-core.EventEmitter')
042.114  000.133  000.133: require('mason-registry.sources')
042.206  000.595  000.229: require('mason-registry')
042.207  002.068  000.084: require('mason')
042.412  000.166  000.166: require('mason.api.command')
042.579  000.065  000.065: require('mason-lspconfig.settings')
042.580  000.167  000.102: require('mason-lspconfig')
042.707  000.121  000.121: require('mason-core.async')
042.895  000.063  000.063: require('mason-core.async.uv')
042.898  000.191  000.128: require('mason-core.fs')
043.153  000.102  000.102: require('mason-core.result')
043.483  000.156  000.156: require('mason-core.process')
